PeakID (cmd=annotatePeaks.pl MYC_Cluster2_peaks.bed hg38 -d MYC_VEH_TagDir)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	MYC_VEH_TagDir Tag Count in given bp (58211597.5 Total, normalization factor = 0.17, effective total = 10000000)
1-11	chr14	49620165	49621547	+	291.2	NA	promoter-TSS (NM_002408)	promoter-TSS (NM_002408)	57	NM_002408	4247		NM_002408	ENSG00000168282	MGAT2	CDG2A|CDGS2|GLCNACTII|GNT-II|GNT2	alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	protein-coding	291.01
1-12	chr8	123395732	123397114	+	283.3	NA	promoter-TSS (NM_014109)	promoter-TSS (NM_014109)	24	NM_014109	29028		NM_014109	ENSG00000156802	ATAD2	ANCCA|CT137|PRO2000	ATPase family AAA domain containing 2	protein-coding	283.28
1-13	chr16	2963542	2964924	+	278.4	NA	promoter-TSS (NM_024507)	promoter-TSS (NM_024507)	-42	NM_001253726	79412		NM_024507	ENSG00000131650	KREMEN2	KRM2	kringle containing transmembrane protein 2	protein-coding	278.21
1-14	chr8	123416070	123417452	+	276.5	NA	promoter-TSS (NM_018024)	promoter-TSS (NM_018024)	-13	NM_018024	55093		NM_018024	ENSG00000156795	NTAQ1	C8orf32|WDYHV1	N-terminal glutamine amidase 1	protein-coding	276.41
1-15	chr8	119873408	119874790	+	272.0	NA	intron (NM_001283012, intron 1 of 6)	CpG	377	NM_022783	64798		NM_022783	ENSG00000155792	DEPTOR	DEP.6|DEPDC6|hDEPTOR	DEP domain containing MTOR interacting protein	protein-coding	271.94
1-16	chr15	89334425	89335807	+	267.4	NA	promoter-TSS (NM_001126131)	promoter-TSS (NM_001126131)	-292	NM_002693	5428		NM_002693	ENSG00000140521	POLG	MDP1|MIRAS|MTDPS4A|MTDPS4B|PEO|POLG1|POLGA|SANDO|SCAE	DNA polymerase gamma, catalytic subunit	protein-coding	267.39
1-17	chr2	10119894	10121276	+	266.1	NA	Intergenic	CpG	-1983	NM_001165931	6241		NM_001034	ENSG00000171848	RRM2	C2orf48|R2|RR2|RR2M	ribonucleotide reductase regulatory subunit M2	protein-coding	265.93
1-18	chr14	55050991	55052373	+	262.7	NA	promoter-TSS (NM_144578)	promoter-TSS (NM_144578)	35	NM_144578	93487		NM_144578	ENSG00000168175	MAPK1IP1L	C14orf32|MISS|c14_5346	mitogen-activated protein kinase 1 interacting protein 1 like	protein-coding	262.58
1-19	chr1	112955349	112956731	+	256.5	NA	promoter-TSS (NR_103744)	promoter-TSS (NR_103744)	23	NM_001166496	6566		NM_003051	ENSG00000155380	SLC16A1	HHF7|MCT|MCT1|MCT1D	solute carrier family 16 member 1	protein-coding	256.48
1-20	chr16	88754766	88756148	+	246.9	NA	intron (NM_001142864, intron 1 of 50)	LTR47B4|LTR|ERVL	12690	NR_120387	339059		NR_120387	ENSG00000182376	LOC339059	-	uncharacterized LOC339059	ncRNA	246.86
1-21	chr12	122526264	122527646	+	245.7	NA	promoter-TSS (NM_023012)	promoter-TSS (NM_023012)	-19	NM_023012	65117		NM_023012	ENSG00000111011	RSRC2	-	arginine and serine rich coiled-coil 2	protein-coding	245.66
1-22	chr8	119855198	119856580	+	238.1	NA	promoter-TSS (NM_024094)	promoter-TSS (NM_024094)	5	NM_024094	79075		NM_024094	ENSG00000136982	DSCC1	DCC1	DNA replication and sister chromatid cohesion 1	protein-coding	238.10
1-23	chr11	65314852	65316234	+	233.7	NA	intron (NM_006779, intron 1 of 1)	CpG	677	NM_006779	10435		NM_006779	ENSG00000149798	CDC42EP2	BORG1|CEP2	CDC42 effector protein 2	protein-coding	233.63
1-24	chr11	61792035	61793417	+	232.3	NA	promoter-TSS (NR_030342)	promoter-TSS (NR_030342)	-127	NM_014206	746		NM_014206	ENSG00000134825	TMEM258	C11orf10|Kud|Kuduk	transmembrane protein 258	protein-coding	232.34
1-25	chr17	78137187	78138569	+	221.2	NA	intron (NM_152468, intron 11 of 15)	intron (NM_152468, intron 11 of 15)	-5451	NM_007267	11322		NM_007267	ENSG00000141524	TMC6	EV1|EVER1|EVIN1|LAK-4P|TNRC6C-AS1|lnc	transmembrane channel like 6	protein-coding	221.00
1-26	chr14	55026530	55027912	+	220.6	NA	promoter-TSS (NM_001008396)	promoter-TSS (NM_001008396)	-15	NM_080867	122809		NM_080867	ENSG00000180008	SOCS4	SOCS7	suppressor of cytokine signaling 4	protein-coding	220.57
1-27	chr15	89243327	89244709	+	220.1	NA	promoter-TSS (NM_001376910)	promoter-TSS (NM_001376910)	39	NM_001113378	55215		NM_018193	ENSG00000140525	FANCI	KIAA1794	FA complementation group I	protein-coding	220.06
1-28	chr6	35727377	35728759	+	219.1	NA	intron (NR_027117, intron 9 of 9)	CpG	515	NM_001145775	2289		NM_004117	ENSG00000096060	FKBP5	AIG6|FKBP51|FKBP54|P54|PPIase|Ptg-10	FKBP prolyl isomerase 5	protein-coding	219.11
1-29	chr16	85644631	85646013	+	216.5	NA	intron (NM_014615, intron 2 of 15)	intron (NM_014615, intron 2 of 15)	32000	NM_014615	23199		NM_014615	ENSG00000131149	GSE1	CRHSP24|KIAA0182	Gse1 coiled-coil protein	protein-coding	216.54
1-30	chr12	122500126	122501508	+	213.7	NA	exon (NM_001350935, exon 1 of 11)	exon (NM_001350935, exon 1 of 11)	115	NM_001350935	55596		NM_017612	ENSG00000033030	ZCCHC8	PFBMFT5	zinc finger CCHC-type containing 8	protein-coding	213.36
1-31	chr14	49687464	49688846	+	212.3	NA	promoter-TSS (NM_001197331)	promoter-TSS (NM_001197331)	59	NM_001197331	5427		NM_002692	ENSG00000100479	POLE2	DPE2	DNA polymerase epsilon 2, accessory subunit	protein-coding	212.33
1-32	chr17	78144001	78145383	+	211.7	NA	Intergenic	Intergenic	-1693	NM_001163075	100141515		NM_001163075	ENSG00000187997	C17orf99	IL-40|UNQ464	chromosome 17 open reading frame 99	protein-coding	211.64
1-33	chr22	19431688	19433070	+	206.8	NA	promoter-TSS (NM_003325)	promoter-TSS (NM_003325)	-166	NM_001318151	64976		NM_003776	ENSG00000185608	MRPL40	L40mt|MRP-L22|MRP-L40|MRPL22|NLVCF|URIM|mL40	mitochondrial ribosomal protein L40	protein-coding	206.83
1-34	chr16	87834025	87835407	+	206.2	NA	promoter-TSS (NR_106833)	promoter-TSS (NR_106833)	-56	NR_106833	102465464		NR_106833	ENSG00000278598	MIR6775	hsa-mir-6775	microRNA 6775	ncRNA	206.23
1-35	chr16	87789483	87790865	+	205.1	NA	Intergenic	Intergenic	-11026	NR_120309	102724467		NR_120309		LOC102724467	-	uncharacterized LOC102724467	ncRNA	205.11
1-36	chr3	186772271	186773653	+	199.3	NA	Intergenic	CpG	-10615	NM_001967	1974		NM_001967	ENSG00000156976	EIF4A2	BM-010|DDX2B|EIF4A|EIF4F|NEDHSS|eIF-4A-II|eIF4A-II	eukaryotic translation initiation factor 4A2	protein-coding	199.27
1-37	chr3	186805982	186807364	+	196.4	NA	promoter-TSS (NM_181573)	promoter-TSS (NM_181573)	22	NM_181573	5984		NM_002916	ENSG00000163918	RFC4	A1|RFC37	replication factor C subunit 4	protein-coding	196.35
1-38	chr5	69188839	69190221	+	195.2	NA	promoter-TSS (NM_022909)	promoter-TSS (NM_022909)	-53	NM_022909	64946		NM_022909	ENSG00000153044	CENPH	-	centromere protein H	protein-coding	195.24
1-39	chr11	65261295	65262677	+	195.1	NA	promoter-TSS (NM_002689)	promoter-TSS (NM_002689)	24	NM_002689	23649		NM_002689	ENSG00000014138	POLA2	-	DNA polymerase alpha 2, accessory subunit	protein-coding	195.06
1-40	chr17	78213568	78214950	+	193.7	NA	promoter-TSS (NM_001012271)	promoter-TSS (NM_001012271)	6	NM_001012271	332		NM_001168	ENSG00000089685	BIRC5	API4|EPR-1	baculoviral IAP repeat containing 5	protein-coding	193.69
1-41	chr5	69166408	69167790	+	191.3	NA	promoter-TSS (NM_001354844)	promoter-TSS (NM_001354844)	-51	NM_031966	891		NM_031966	ENSG00000134057	CCNB1	CCNB	cyclin B1	protein-coding	191.28
1-42	chr15	78539757	78541139	+	185.6	NA	promoter-TSS (NM_001330673)	promoter-TSS (NM_001330673)	4	NM_002789	5685		NM_002789	ENSG00000041357	PSMA4	HC9|HsT17706|PSC9	proteasome 20S subunit alpha 4	protein-coding	185.62
1-43	chr16	88856728	88858110	+	181.9	NA	promoter-TSS (NM_001323543)	promoter-TSS (NM_001323543)	292	NM_001318530	51693		NM_016209	ENSG00000167515	TRAPPC2L	HSPC176|PERRB	trafficking protein particle complex subunit 2L	protein-coding	181.92
1-44	chr14	54901765	54903147	+	179.3	NA	exon (NM_001024071, exon 1 of 6)	exon (NM_001024071, exon 1 of 6)	368	NM_001024024	2643		NM_000161	ENSG00000131979	GCH1	DYT14|DYT5|DYT5a|GCH|GTP-CH-1|GTPCH1|HPABH4B	GTP cyclohydrolase 1	protein-coding	179.17
1-45	chr17	78186572	78187954	+	178.0	NA	promoter-TSS (NM_001145526)	promoter-TSS (NM_001145526)	-54	NR_027083	125061		NM_001010982	ENSG00000183077	AFMID	FKF|KF|KFA	arylformamidase	protein-coding	177.89
1-46	chr11	61816113	61817495	+	176.3	NA	exon (NM_013402, exon 1 of 12)	exon (NM_013402, exon 1 of 12)	199	NM_013402	3992		NM_013402	ENSG00000149485	FADS1	D5D|FADS6|FADSD5|LLCDL1|TU12	fatty acid desaturase 1	protein-coding	176.25
1-47	chr1	46302733	46304115	+	173.4	NA	promoter-TSS (NM_001297566)	promoter-TSS (NM_001297566)	192	NM_006369	10489		NM_006369	ENSG00000132128	LRRC41	MUF1|PP7759	leucine rich repeat containing 41	protein-coding	173.08
1-48	chr7	100088282	100089664	+	173.1	NA	promoter-TSS (NM_006833)	promoter-TSS (NM_006833)	4	NM_006833	10980		NM_006833	ENSG00000168090	COPS6	CSN6|MOV34-34KD	COP9 signalosome subunit 6	protein-coding	173.08
1-49	chr15	90716582	90717964	+	169.5	NA	promoter-TSS (NM_001287247)	promoter-TSS (NM_001287247)	-73	NM_001287248	641		NM_000057	ENSG00000197299	BLM	BS|MGRISCE1|RECQ2|RECQL2|RECQL3	BLM RecQ like helicase	protein-coding	169.47
1-50	chr19	14136413	14137795	+	169.2	NA	promoter-TSS (NM_018154)	promoter-TSS (NM_018154)	-48	NR_045214	100507373		NR_045214	ENSG00000267169	ADGRL1-AS1	-	ADGRL1 antisense RNA 1	ncRNA	169.21
1-51	chr20	37095333	37096715	+	168.3	NA	promoter-TSS (NM_002895)	promoter-TSS (NM_002895)	-27	NM_001323282	5933		NM_002895	ENSG00000080839	RBL1	CP107|PRB1|p107	RB transcriptional corepressor like 1	protein-coding	168.27
1-52	chr19	4362575	4363957	+	168.1	NA	intron (NM_001199943, intron 6 of 8)	intron (NM_001199943, intron 6 of 8)	19704	NM_001300862	84954		NM_032868	ENSG00000008382	MPND	-	MPN domain containing	protein-coding	168.09
1-53	chr19	48169890	48171272	+	166.9	NA	promoter-TSS (NM_001289064)	promoter-TSS (NM_001289064)	22	NM_001289064	3978		NM_000234	ENSG00000105486	LIG1	IMD96|LIGI|hLig1	DNA ligase 1	protein-coding	166.81
1-54	chr12	125064947	125066329	+	164.0	NA	exon (NM_001319839, exon 1 of 17)	exon (NM_001319839, exon 1 of 17)	203	NM_001319840	65985		NM_023928	ENSG00000081760	AACS	ACSF1|SUR-5	acetoacetyl-CoA synthetase	protein-coding	163.88
1-55	chr16	46688466	46689848	+	162.8	NA	promoter-TSS (NM_018206)	promoter-TSS (NM_018206)	21	NM_018206	55737		NM_018206	ENSG00000069329	VPS35	MEM3|PARK17	VPS35 retromer complex component	protein-coding	162.77
1-56	chr1	203088887	203090269	+	158.9	NA	Intergenic	Intergenic	-3566	NM_002479	4656		NM_002479	ENSG00000122180	MYOG	MYF4|bHLHc3|myf-4	myogenin	protein-coding	158.90
1-57	chr11	65333161	65334543	+	158.7	NA	promoter-TSS (NM_006268)	promoter-TSS (NM_006268)	0	NM_001330308	5977		NM_006268	ENSG00000133884	DPF2	CSS7|REQ|SMARCG2|UBID4|ubi-d4	double PHD fingers 2	protein-coding	158.73
1-58	chr3	186826502	186827884	+	157.8	NA	Intergenic	CpG	-1672	NR_125409	102724699		NR_125409	ENSG00000232233	LINC02043	-	long intergenic non-protein coding RNA 2043	ncRNA	157.79
1-59	chr16	85688424	85689806	+	156.3	NA	promoter-TSS (NM_016095)	promoter-TSS (NM_016095)	-161	NM_016095	51659		NM_016095	ENSG00000131153	GINS2	HSPC037|PSF2|Pfs2	GINS complex subunit 2	protein-coding	156.15
1-60	chr11	125625165	125626547	+	155.3	NA	promoter-TSS (NR_045205)	promoter-TSS (NR_045205)	-368	NM_001330428	1111		NM_001274	ENSG00000149554	CHEK1	CHK1|OZEMA21	checkpoint kinase 1	protein-coding	155.30
1-61	chr20	5118979	5120361	+	153.4	NA	promoter-TSS (NR_028370)	promoter-TSS (NR_028370)	84	NR_028370	100302739		NR_028370		PCNA-AS1	PCNA-AS|PCNAAS	PCNA antisense RNA 1	ncRNA	153.41
1-62	chr7	152675256	152676638	+	152.2	NA	intron (NM_005431, intron 1 of 2)	CpG	194	NM_005431	7516		NM_005431	ENSG00000196584	XRCC2	FANCU|POF17|SPGF50	X-ray repair cross complementing 2	protein-coding	152.20
1-63	chr6	24774497	24775879	+	149.9	NA	promoter-TSS (NM_001251991)	promoter-TSS (NM_001251991)	-225	NM_001251991	51053		NM_015895	ENSG00000112312	GMNN	Gem|MGORS6	geminin DNA replication inhibitor	protein-coding	149.88
1-64	chr12	124988387	124989769	+	148.6	NA	promoter-TSS (NM_032656)	promoter-TSS (NM_032656)	53	NM_032656	57647		NM_032656	ENSG00000150990	DHX37	DDX37|Dhr1|NEDBAVC|SRXY11	DEAH-box helicase 37	protein-coding	148.60
1-65	chr11	125591863	125593245	+	147.4	NA	promoter-TSS (NR_132372)	promoter-TSS (NR_132372)	14	NR_132372	105369550		NR_132372	ENSG00000149557	STT3A-AS1	-	STT3A antisense RNA 1	ncRNA	147.39
1-66	chr11	19240202	19241584	+	144.1	NA	promoter-TSS (NM_024680)	promoter-TSS (NM_024680)	52	NM_024680	79733		NM_024680	ENSG00000129173	E2F8	E2F-8	E2F transcription factor 8	protein-coding	144.13
1-67	chr15	89358307	89359689	+	143.8	NA	Intergenic	CpG	-2581	NR_133001	254559		NR_015411	ENSG00000255571	MIR9-3HG	LINC00925|lnc-FANCI-2	MIR9-3 host gene	ncRNA	143.61
1-68	chr4	184733392	184734774	+	142.6	NA	promoter-TSS (NR_104593)	promoter-TSS (NR_104593)	13	NM_024629	79682		NM_024629	ENSG00000151725	CENPU	CENP50|CENPU50|KLIP1|MLF1IP|PBIP1	centromere protein U	protein-coding	142.58
1-69	chr18	657243	658625	+	142.5	NA	exon (NM_001071, exon 1 of 7)	exon (NM_001071, exon 1 of 7)	281	NM_001354868	7298		NM_001071	ENSG00000176890	TYMS	DKCD|HST422|TMS|TS	thymidylate synthetase	protein-coding	142.50
1-70	chr12	77065038	77066420	+	137.9	NA	promoter-TSS (NM_203394)	promoter-TSS (NM_203394)	-160	NM_203394	144455		NM_203394	ENSG00000165891	E2F7	-	E2F transcription factor 7	protein-coding	137.86
1-71	chr7	100148339	100149721	+	134.5	NA	promoter-TSS (NR_134528)	promoter-TSS (NR_134528)	52	NR_134529	389541		NM_001008395	ENSG00000188186	LAMTOR4	C7orf59	late endosomal/lysosomal adaptor, MAPK and MTOR activator 4	protein-coding	134.51
1-72	chr17	78168655	78170037	+	134.4	NA	intron (NM_004710, intron 1 of 3)	intron (NM_004710, intron 1 of 3)	765	NM_004710	9144		NM_004710	ENSG00000108639	SYNGR2	-	synaptogyrin 2	protein-coding	134.42
1-73	chr7	100049154	100050536	+	134.1	NA	promoter-TSS (NM_001362781)	promoter-TSS (NM_001362781)	51	NM_001362779	7589		NM_145914	ENSG00000166529	ZSCAN21	NY-REN-21|ZNF38|Zipro1	zinc finger and SCAN domain containing 21	protein-coding	134.08
1-74	chr22	19554351	19555733	+	131.6	NA	Intergenic	Intergenic	11797	NR_024381	150185		NR_024381		LINC00895	-	long intergenic non-protein coding RNA 895	ncRNA	131.59
1-75	chr3	48187471	48188853	+	131.5	NA	5' UTR (NM_201567, exon 1 of 14)	5' UTR (NM_201567, exon 1 of 14)	255	NM_001789	993		NM_001789	ENSG00000164045	CDC25A	CDC25A2	cell division cycle 25A	protein-coding	131.42
1-76	chr15	78564953	78566335	+	128.7	NA	5' UTR (NM_000745, exon 1 of 6)	5' UTR (NM_000745, exon 1 of 6)	124	NM_001307945	1138		NM_000745	ENSG00000169684	CHRNA5	LNCR2	cholinergic receptor nicotinic alpha 5 subunit	protein-coding	128.67
1-77	chr6	31196981	31198363	+	127.2	NA	promoter-TSS (NR_026791)	promoter-TSS (NR_026791)	-88	NR_026791	253018		NR_026791	ENSG00000206344	HCG27	bCX101P6.9|bPG299F13.9|bQB115I13.2	HLA complex group 27	ncRNA	127.21
1-78	chr14	49676311	49677693	+	127.0	NA	intron (NM_002692, intron 3 of 18)	intron (NM_002692, intron 3 of 18)	11212	NM_001197331	5427		NM_002692	ENSG00000100479	POLE2	DPE2	DNA polymerase epsilon 2, accessory subunit	protein-coding	127.04
1-79	chr5	69217228	69218610	+	126.6	NA	intron (NM_033281, intron 1 of 3)	CpG	159	NM_033281	92259		NM_033281	ENSG00000134056	KGD4	DC47|MRP-S36|MRPS36	alpha-ketoglutarate dehydrogenase subunit 4	protein-coding	126.52
1-80	chr15	64387050	64388432	+	123.0	NA	promoter-TSS (NM_001321924)	promoter-TSS (NM_001321924)	-54	NR_109934	9768		NM_014736	ENSG00000166803	PCLAF	KIAA0101|L5|NS5ATP9|OEATC|OEATC-1|OEATC1|PAF|PAF15|p15(PAF)|p15/PAF|p15PAF	PCNA clamp associated factor	protein-coding	123.00
1-81	chr20	5112347	5113729	+	122.0	NA	promoter-TSS (NM_001330987)	promoter-TSS (NM_001330987)	38	NM_001009923	29058		NM_014145	ENSG00000089063	TMEM230	C20orf30|HSPC274|dJ1116H23.2.1	transmembrane protein 230	protein-coding	121.97
1-82	chr19	4388334	4389716	+	120.7	NA	intron (NM_001199943, intron 1 of 8)	intron (NM_001199943, intron 1 of 8)	11522	NM_003025	6455		NM_003025	ENSG00000141985	SH3GL1	CNSA1|EEN|SH3D2B|SH3P8	SH3 domain containing GRB2 like 1, endophilin A2	protein-coding	120.68
1-83	chr5	80653975	80655357	+	120.3	NA	promoter-TSS (NM_002439)	promoter-TSS (NM_002439)	14	NM_002439	4437		NM_002439	ENSG00000113318	MSH3	DUP|FAP4|MRP1	mutS homolog 3	protein-coding	120.34
1-84	chr6	35776244	35777626	+	117.3	NA	intron (NR_104469, intron 1 of 1)	(CCCCCG)n|Simple_repeat|Simple_repeat	337	NR_104467	389383		NM_207409	ENSG00000196748	CLPSL2	AAAL3045|C6orf126|UNQ3045|dJ510O8.5	colipase like 2	protein-coding	117.33
1-85	chr6	31122511	31123893	+	117.2	NA	intron (NM_014068, intron 1 of 5).5	intron (NM_014068, intron 1 of 5).5	-2756	NM_001264	1041		NM_001264	ENSG00000204539	CDSN	HTSS|HTSS1|HYPT2|PSS|PSS1	corneodesmosin	protein-coding	117.24
1-86	chr16	85707325	85708707	+	116.9	NA	exon (NM_206967, exon 4 of 4)	exon (NM_206967, exon 4 of 4)	-19062	NM_016095	51659		NM_016095	ENSG00000131153	GINS2	HSPC037|PSF2|Pfs2	GINS complex subunit 2	protein-coding	116.90
1-87	chr18	711658	713040	+	114.2	NA	intron (NM_001354065, intron 1 of 14)	CpG	281	NM_001318760	55556		NM_017512	ENSG00000132199	ENOSF1	FUCD|RTS|TYMSAS	enolase superfamily member 1	protein-coding	114.07
1-88	chr1	203127467	203128849	+	114.0	NA	intron (NM_001048230, intron 1 of 2)	CpG	432	NM_001365065	134		NM_000674	ENSG00000163485	ADORA1	RDC7	adenosine A1 receptor	protein-coding	113.98
1-89	chr16	87895504	87896886	+	113.3	NA	intron (NR_159798, intron 5 of 7)	MIRb|SINE|MIR	-26688	NM_003486	8140		NM_003486	ENSG00000103257	SLC7A5	4F2LC|CD98|D16S469E|E16|LAT1|MPE16	solute carrier family 7 member 5	protein-coding	113.29
1-90	chr8	119832243	119833625	+	112.1	NA	promoter-TSS (NM_003184)	promoter-TSS (NM_003184)	-93	NM_003184	6873		NM_003184	ENSG00000064313	TAF2	CIF150|MRT40|TAF2B|TAFII150	TATA-box binding protein associated factor 2	protein-coding	112.09
1-91	chr16	85673528	85674910	+	111.1	NA	3' UTR (NM_014615, exon 16 of 16)	3' UTR (NM_014615, exon 16 of 16)	14735	NM_016095	51659		NM_016095	ENSG00000131153	GINS2	HSPC037|PSF2|Pfs2	GINS complex subunit 2	protein-coding	111.06
1-92	chr16	87884896	87886278	+	107.5	NA	intron (NM_001367225, intron 6 of 6)	intron (NM_001367225, intron 6 of 6)	-16080	NM_003486	8140		NM_003486	ENSG00000103257	SLC7A5	4F2LC|CD98|D16S469E|E16|LAT1|MPE16	solute carrier family 7 member 5	protein-coding	107.45
1-93	chr12	125049097	125050479	+	107.2	NA	Intergenic	CpG	-15647	NM_023928	65985		NM_023928	ENSG00000081760	AACS	ACSF1|SUR-5	acetoacetyl-CoA synthetase	protein-coding	107.20
1-94	chr6	35688325	35689707	+	103.2	NA	promoter-TSS (NM_001145777)	promoter-TSS (NM_001145777)	-74	NM_001145777	2289		NM_004117	ENSG00000096060	FKBP5	AIG6|FKBP51|FKBP54|P54|PPIase|Ptg-10	FKBP prolyl isomerase 5	protein-coding	103.07
1-95	chr22	19543547	19544929	+	101.8	NA	Intergenic	Intergenic	-18901	NM_001130861	7122		NM_003277	ENSG00000184113	CLDN5	AWAL|BEC1|CPETRL1|TMDVCF|TMVCF	claudin 5	protein-coding	101.78
1-97	chr15	78640507	78641889	+	98.6	NA	promoter-TSS (NM_001256567)	promoter-TSS (NM_001256567)	12	NM_001256567	1143		NM_000750	ENSG00000117971	CHRNB4	-	cholinergic receptor nicotinic beta 4 subunit	protein-coding	98.61
1-96	chr6	31169071	31170453	+	98.6	NA	intron (NM_002701, intron 1 of 4)	intron (NM_002701, intron 1 of 4)	920	NM_002701	5460		NM_002701	ENSG00000204531	POU5F1	OCT3|OCT4|OTF-3|OTF3|OTF4|Oct-3|Oct-4|Oct3/4	POU class 5 homeobox 1	protein-coding	98.61
1-98	chr6	35764026	35765408	+	97.1	NA	Intergenic	LTR9B|LTR|ERV1	-11881	NR_104469	389383		NM_207409	ENSG00000196748	CLPSL2	AAAL3045|C6orf126|UNQ3045|dJ510O8.5	colipase like 2	protein-coding	97.06
1-99	chr1	203216048	203217405	+	96.8	NA	non-coding (NR_045785, exon 12 of 12)	non-coding (NR_045785, exon 12 of 12)	12947	NM_001256125	1118		NM_003465	ENSG00000133063	CHIT1	CHI3|CHIT|CHITD	chitinase 1	protein-coding	95.08
1-100	chr4	153344170	153345552	+	95.9	NA	intron (NM_001253861, intron 1 of 6)	CpG	173	NR_045605	84057		NM_032117	ENSG00000121211	MND1	GAJ	meiotic nuclear divisions 1	protein-coding	95.86
1-101	chr15	64355731	64357113	+	95.5	NA	promoter-TSS (NM_022048)	promoter-TSS (NM_022048)	-249	NM_001329606	53944		NM_022048	ENSG00000169118	CSNK1G1	CK1gamma1	casein kinase 1 gamma 1	protein-coding	95.51
1-102	chr5	69234285	69235667	+	92.5	NA	promoter-TSS (NM_001324075)	promoter-TSS (NM_001324075)	90	NM_001324078	1022		NM_001799	ENSG00000134058	CDK7	CAK|CAK1|CDKN7|HCAK|MO15|STK1|p39MO15	cyclin dependent kinase 7	protein-coding	92.42
1-103	chr1	46246740	46248122	+	89.8	NA	promoter-TSS (NM_003579)	promoter-TSS (NM_003579)	-257	NM_001370766	8438		NM_003579	ENSG00000085999	RAD54L	HR54|RAD54A|hHR54|hRAD54	RAD54 like	protein-coding	89.76
1-104	chr1	203153588	203154970	+	86.7	NA	intron (NM_001365066, intron 2 of 2)	intron (NM_001365066, intron 2 of 2)	21547	NM_004997	4608		NM_004997	ENSG00000133055	MYBPH	-	myosin binding protein H	protein-coding	86.67
1-105	chr15	64326282	64327664	+	85.7	NA	intron (NM_001329606, intron 1 of 11)	L1PA2|LINE|L1	29200	NM_001329605	53944		NM_022048	ENSG00000169118	CSNK1G1	CK1gamma1	casein kinase 1 gamma 1	protein-coding	85.72
