PeakID (cmd=annotatePeaks.pl MYC_Cluster3_peaks.bed hg38 -d MYC_VEH_TagDir)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	MYC_VEH_TagDir Tag Count in given bp (58211597.5 Total, normalization factor = 0.17, effective total = 10000000)
1-14	chr19	16462928	16464310	+	203.1	NA	intron (NM_021235, intron 1 of 22)	L2c|LINE|L2	8351	NM_001258374	58513		NM_021235	ENSG00000127527	EPS15L1	EPS15R	epidermal growth factor receptor pathway substrate 15 like 1	protein-coding	203.05
1-15	chr7	2757110	2758492	+	199.8	NA	intron (NM_001282441, intron 3 of 4)	intron (NM_001282441, intron 3 of 4)	5339	NM_001282440	2768		NM_007353	ENSG00000146535	GNA12	HG1M1|NNX3|RMP|gep	G protein subunit alpha 12	protein-coding	199.53
1-16	chr2	156332179	156333561	+	197.3	NA	promoter-TSS (NM_006186)	promoter-TSS (NM_006186)	-149	NM_006186	4929		NM_006186	ENSG00000153234	NR4A2	HZF-3|IDLDP|NOT|NURR1|RNR1|TINUR	nuclear receptor subfamily 4 group A member 2	protein-coding	197.04
1-17	chr2	156341262	156342644	+	194.8	NA	non-coding (NR_147695, exon 1 of 1)	non-coding (NR_147695, exon 1 of 1)	167	NR_147695	440918		NR_147695		FLJ46875	-	uncharacterized LOC440918	ncRNA	194.63
1-18	chr5	149959996	149961378	+	186.0	NA	promoter-TSS (NM_000112)	promoter-TSS (NM_000112)	-71	NM_000112	1836		NM_000112	ENSG00000155850	SLC26A2	D5S1708|DTD|DTDST|EDM4|MST153|MSTP157	solute carrier family 26 member 2	protein-coding	185.87
1-19	chr9	93003296	93004678	+	185.9	NA	intron (NM_001369951, intron 4 of 17)	intron (NM_001369951, intron 4 of 17)	10957	NR_121565	101927954		NR_121565		LOC101927954	-	uncharacterized LOC101927954	ncRNA	185.87
1-20	chr17	41548019	41549401	+	183.9	NA	TTS (NR_038442)	TTS (NR_038442)	5785	NR_038442	147093		NR_038442	ENSG00000226629	LINC00974	-	long intergenic non-protein coding RNA 974	ncRNA	183.64
1-21	chr21	42314807	42316189	+	183.8	NA	promoter-TSS (NM_003226)	promoter-TSS (NM_003226)	-89	NM_003226	7033		NM_003226	ENSG00000160180	TFF3	ITF|P1B|TFI	trefoil factor 3	protein-coding	183.81
1-22	chr6	122609764	122611146	+	178.6	NA	promoter-TSS (NM_181795)	promoter-TSS (NM_181795)	50	NM_181795	5570		NM_032471	ENSG00000135549	PKIB	PRKACN2	cAMP-dependent protein kinase inhibitor beta	protein-coding	178.57
1-23	chr9	93057787	93059169	+	178.4	NA	promoter-TSS (NM_001287008)	promoter-TSS (NM_001287008)	-210	NM_001287006	203328		NM_145006	ENSG00000157303	SUSD3	-	sushi domain containing 3	protein-coding	178.31
1-24	chr9	4984176	4985558	+	169.0	NA	promoter-TSS (NM_001322194)	promoter-TSS (NM_001322194)	-219	NM_001322195	3717		NM_004972	ENSG00000096968	JAK2	JTK10	Janus kinase 2	protein-coding	168.95
1-25	chr2	11498080	11499462	+	164.8	NA	Intergenic	Intergenic	-32594	NM_001278278	1876		NM_198256	ENSG00000169016	E2F6	E2F-6	E2F transcription factor 6	protein-coding	164.83
1-26	chr10	43081663	43083045	+	164.0	NA	intron (NM_020975, intron 1 of 19)	intron (NM_020975, intron 1 of 19)	5285	NM_020975	5979		NM_020630	ENSG00000165731	RET	CDHF12|CDHR16|HSCR1|MEN2A|MEN2B|MTC1|PTC|RET-ELE1	ret proto-oncogene	protein-coding	163.80
1-27	chr21	42337593	42338975	+	159.2	NA	Intergenic	Intergenic	12710	NM_005423	7032		NM_005423	ENSG00000160181	TFF2	SML1|SP	trefoil factor 2	protein-coding	159.16
1-28	chr17	41535622	41537004	+	157.7	NA	Intergenic	Intergenic	-8005	NM_002276	3880		NM_002276	ENSG00000171345	KRT19	CK19|K19|K1CS	keratin 19	protein-coding	157.70
1-29	chr5	150000062	150001444	+	154.7	NA	promoter-TSS (NM_014983)	promoter-TSS (NM_014983)	14	NM_014983	22993		NM_014983	ENSG00000113716	HMGXB3	HMGX3|SMF	HMG-box containing 3	protein-coding	154.69
1-30	chr12	15220564	15221946	+	153.1	NA	5' UTR (NM_001190726, exon 1 of 4)	5' UTR (NM_001190726, exon 1 of 4)	162	NM_032918	85004		NM_032918	ENSG00000134533	RERG	-	RAS like estrogen regulated growth inhibitor	protein-coding	153.15
1-31	chr6	11093322	11094305	+	152.5	NA	promoter-TSS (NM_001135575)	promoter-TSS (NM_001135575)	-21	NM_001135575	221710		NM_001135575	ENSG00000224531	SMIM13	C6orf228	small integral membrane protein 13	protein-coding	111.06
1-32	chr17	74769651	74771033	+	151.0	NA	TTS (NR_130954)	TTS (NR_130954)	6003	NM_001305079	26151		NM_015654	ENSG00000109065	NAT9	EBSP, hNATL	N-acetyltransferase 9 (putative)	protein-coding	151.00
1-33	chr2	11530369	11531751	+	145.5	NA	Intergenic	Intergenic	-2985	NM_014668	9687		NM_014668	ENSG00000196208	GREB1	-	growth regulating estrogen receptor binding 1	protein-coding	145.50
1-34	chr6	125301101	125302483	+	142.2	NA	intron (NM_016063, intron 1 of 5)	CpG	175	NM_016063	51020		NM_016063	ENSG00000111906	HDDC2	C6orf74|CGI-130|NS5ATP2|dJ167O5.2	HD domain containing 2	protein-coding	142.15
1-35	chr11	88337071	88338453	+	141.4	NA	promoter-TSS (NM_001114173)	promoter-TSS (NM_001114173)	-26	NM_148170	1075		NM_001814	ENSG00000109861	CTSC	CPPI|DPP-I|DPP1|DPPI|HMS|JP|JPD|PALS|PDON1|PLS	cathepsin C	protein-coding	141.38
1-36	chr17	74775589	74776971	+	141.0	NA	promoter-TSS (NR_130954)	promoter-TSS (NR_130954)	65	NM_001305079	26151		NM_015654	ENSG00000109065	NAT9	EBSP, hNATL	N-acetyltransferase 9 (putative)	protein-coding	140.87
1-37	chr7	2732677	2734059	+	134.4	NA	3' UTR (NM_001384741, exon 6 of 6)	3' UTR (NM_001384741, exon 6 of 6)	29772	NM_001282440	2768		NM_007353	ENSG00000146535	GNA12	HG1M1|NNX3|RMP|gep	G protein subunit alpha 12	protein-coding	134.42
1-38	chr22	28818770	28820152	+	133.2	NA	Intergenic	Intergenic	-18889	NM_001079539	7494		NM_005080	ENSG00000100219	XBP1	TREB-5|TREB5|XBP-1|XBP2	X-box binding protein 1	protein-coding	133.22
1-39	chr11	101128585	101129967	+	129.1	NA	promoter-TSS (NM_001202474)	promoter-TSS (NM_001202474)	199	NR_073144	101054525		NR_073144		PGR-AS1	AT1|AT2|AT3	PGR antisense RNA 1	ncRNA	129.10
1-40	chr21	42388901	42390283	+	124.7	NA	promoter-TSS (NM_032404)	promoter-TSS (NM_032404)	-443	NM_032404	64699		NM_024022	ENSG00000160183	TMPRSS3	DFNB10|DFNB8|ECHOS1|TADG12	transmembrane serine protease 3	protein-coding	124.63
1-41	chr10	43110269	43111651	+	121.5	NA	intron (NM_020975, intron 6 of 19)	intron (NM_020975, intron 6 of 19)	6228	NM_001355216	5979		NM_020630	ENSG00000165731	RET	CDHF12|CDHR16|HSCR1|MEN2A|MEN2B|MTC1|PTC|RET-ELE1	ret proto-oncogene	protein-coding	121.54
1-42	chr4	88283679	88285061	+	120.6	NA	promoter-TSS (NR_134236)	promoter-TSS (NR_134236)	191	NM_152542	152926		NM_152542	ENSG00000163644	PPM1K	BCKDH|BDP|MSUDMV|PP2Ckappa|PP2Cm|PTMP|UG0882E07	protein phosphatase, Mg2+/Mn2+ dependent 1K	protein-coding	120.59
1-43	chr19	16495574	16496956	+	117.5	NA	promoter-TSS (NM_145046)	promoter-TSS (NM_145046)	-98	NM_145046	125972		NM_145046	ENSG00000269058	CALR3	CMH19|CRT2|CT93	calreticulin 3	protein-coding	117.50
1-44	chr15	38453625	38455007	+	113.0	NA	intron (NM_173611, intron 1 of 7)	CpG	189	NM_173611	283742		NM_173611	ENSG00000171262	FAM98B	-	family with sequence similarity 98 member B	protein-coding	113.04
1-45	chr10	43092992	43094374	+	105.1	NA	intron (NM_020975, intron 1 of 19)	L1MEg|LINE|L1	-11049	NM_001355216	5979		NM_020630	ENSG00000165731	RET	CDHF12|CDHR16|HSCR1|MEN2A|MEN2B|MTC1|PTC|RET-ELE1	ret proto-oncogene	protein-coding	105.13
1-46	chr10	46029797	46031179	+	102.6	NA	intron (NM_001145261, intron 1 of 10)	CpG	226	NM_001145260	8031		NM_005437	ENSG00000266412	NCOA4	ARA70|ELE1|PTC3|RFG	nuclear receptor coactivator 4	protein-coding	102.56
1-47	chr10	43044235	43045617	+	102.5	NA	Intergenic	Intergenic	-32101	NM_020630	5979		NM_020630	ENSG00000165731	RET	CDHF12|CDHR16|HSCR1|MEN2A|MEN2B|MTC1|PTC|RET-ELE1	ret proto-oncogene	protein-coding	102.47
1-48	chr1	162151861	162153243	+	102.4	NA	intron (NM_014697, intron 1 of 9)	intron (NM_014697, intron 1 of 9)	-4555	NR_039798	100616386		NR_039798	ENSG00000266144	MIR4654	mir-4654	microRNA 4654	ncRNA	102.39
1-49	chr10	43137336	43138718	+	100.5	NA	promoter-TSS (NM_018590)	promoter-TSS (NM_018590)	-418	NR_135077	55454		NM_018590	ENSG00000169826	CSGALNACT2	CHGN2|ChGn-2|GALNACT-2|GALNACT2|PRO0082|beta4GalNAcT	chondroitin sulfate N-acetylgalactosaminyltransferase 2	protein-coding	100.50
1-50	chr9	93071757	93073139	+	100.1	NA	intron (NM_001287005, intron 2 of 5)	intron (NM_001287005, intron 2 of 5)	13747	NM_001287008	203328		NM_145006	ENSG00000157303	SUSD3	-	sushi domain containing 3	protein-coding	99.98
1-51	chr2	11669344	11670726	+	97.8	NA	exon (NM_012344, exon 1 of 4)	exon (NM_012344, exon 1 of 4)	160	NM_012344	23620		NM_012344	ENSG00000169006	NTSR2	NTR2	neurotensin receptor 2	protein-coding	97.83
1-52	chr19	16471386	16472768	+	97.1	NA	promoter-TSS (NM_001258376)	promoter-TSS (NM_001258376)	-65	NM_001258375	58513		NM_021235	ENSG00000127527	EPS15L1	EPS15R	epidermal growth factor receptor pathway substrate 15 like 1	protein-coding	96.97
1-53	chr10	46022696	46024078	+	95.8	NA	promoter-TSS (NM_005437)	promoter-TSS (NM_005437)	71	NM_005437	8031		NM_005437	ENSG00000266412	NCOA4	ARA70|ELE1|PTC3|RFG	nuclear receptor coactivator 4	protein-coding	95.77
1-54	chr10	17387466	17388848	+	90.5	NA	intron (NR_034129, intron 1 of 2)	LTR80A|LTR|ERVL	1221	NR_034129	100128098		NR_034129	ENSG00000204832	ST8SIA6-AS1	APAL	ST8SIA6 antisense RNA 1	ncRNA	90.53
1-55	chr2	72149340	72150722	+	90.3	NA	Intergenic	CpG-16143	-2169	NM_001277742	56603		NM_019885	ENSG00000003137	CYP26B1	CYP26A2|P450RAI-2|P450RAI2|RHFCA	cytochrome P450 family 26 subfamily B member 1	protein-coding	90.27
1-56	chr22	28813240	28814622	+	90.2	NA	Intergenic	Intergenic	-13359	NM_001079539	7494		NM_005080	ENSG00000100219	XBP1	TREB-5|TREB5|XBP-1|XBP2	X-box binding protein 1	protein-coding	90.19
1-57	chr1	42957962	42959344	+	87.4	NA	promoter-TSS (NR_033967)	promoter-TSS (NR_033967)	215	NM_006516	6513		NM_006516	ENSG00000117394	SLC2A1	CSE|DYT17|DYT18|DYT9|EIG12|GLUT|GLUT-1|GLUT1|GLUT1DS|HTLVR|PED|SDCHCN	solute carrier family 2 member 1	protein-coding	87.35
1-58	chr2	11656310	11657692	+	84.7	NA	Intergenic	CpG	13194	NM_012344	23620		NM_012344	ENSG00000169006	NTSR2	NTR2	neurotensin receptor 2	protein-coding	84.69
1-59	chr3	157498929	157500311	+	84.5	NA	promoter-TSS (NM_024621)	promoter-TSS (NM_024621)	36	NM_024621	79674		NM_024621	ENSG00000197415	VEPH1	MELT|VEPH	ventricular zone expressed PH domain containing 1	protein-coding	84.52
1-60	chr9	92904978	92906360	+	82.6	NA	Intergenic	L1PA3|LINE|L1	23102	NR_111003	642943		NR_111003		LOC642943	-	SPATA31 subfamily A pseudogene	pseudo	82.63
1-61	chr5	73625578	73626960	+	80.7	NA	5' UTR (NM_001080479, exon 1 of 37)	5' UTR (NM_001080479, exon 1 of 37)	111	NM_001177693	64283		NM_022448	ENSG00000214944	ARHGEF28	RGNEF|RIP2|p190RHOGEF	Rho guanine nucleotide exchange factor 28	protein-coding	80.48
1-62	chr6	122691569	122692951	+	80.6	NA	intron (NM_181795, intron 3 of 4)	L1MA2|LINE|L1	39531	NM_001270395	5570		NM_032471	ENSG00000135549	PKIB	PRKACN2	cAMP-dependent protein kinase inhibitor beta	protein-coding	80.57
1-63	chr4	88334598	88334769	+	80.4	NA	intron (NR_134238, intron 3 of 4)	L2a|LINE|L2	-44169	NM_001165136	55008		NM_017912	ENSG00000138642	HERC6	-	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6	protein-coding	3.09
1-64	chr1	162284717	162286099	+	78.2	NA	intron (NM_014697, intron 2 of 9)	intron (NM_014697, intron 2 of 9)	-57138	NR_030283	693141		NR_030283	ENSG00000207729	MIR556	MIRN556|hsa-mir-556|mir-556	microRNA 556	ncRNA	78.25
1-65	chr12	109154241	109155623	+	77.6	NA	intron (NM_001093, intron 2 of 52)	intron (NM_001093, intron 2 of 52)	38345	NM_001093	32		NM_001093	ENSG00000076555	ACACB	ACACbeta|ACC-beta|ACC2|ACCB|ACCbeta|HACC275	acetyl-CoA carboxylase beta	protein-coding	77.56
1-66	chr2	11679666	11681048	+	77.0	NA	intron (NM_001349207, intron 1 of 20)	intron (NM_001349207, intron 1 of 20)	2813	NM_001349208	23175		NM_145693	ENSG00000134324	LPIN1	PAP1	lipin 1	protein-coding	76.96
1-67	chr6	39169047	39170429	+	77.0	NA	Intergenic	Intergenic	-54552	NM_018322	55776		NM_018322	ENSG00000112167	SAYSD1	C6orf64	SAYSVFN motif domain containing 1	protein-coding	76.96
1-68	chr10	102743502	102744884	+	76.1	NA	TTS (NM_178858)	TTS (NM_178858)	245	NM_001083913	54838		NM_017787	ENSG00000166272	WBP1L	C10orf26|OPA1L|OPAL1	WW domain binding protein 1 like	protein-coding	76.10
1-69	chr6	122470968	122472350	+	76.0	NA	promoter-TSS (NM_001270393)	promoter-TSS (NM_001270393)	148	NM_020755	57515		NM_020755	ENSG00000111897	SERINC1	TDE1L|TDE2|TMS-2|TMS2	serine incorporator 1	protein-coding	76.02
1-70	chr4	37452983	37454365	+	75.8	NA	promoter-TSS (NM_001104629)	promoter-TSS (NM_001104629)	-251	NM_001104629	55286		NM_018302	ENSG00000154274	C4orf19	-	chromosome 4 open reading frame 19	protein-coding	75.67
1-71	chr6	39214875	39216257	+	74.6	NA	intron (NM_003740, intron 1 of 4)	intron (NM_003740, intron 1 of 4)	13909	NM_003740	8645		NM_003740	ENSG00000164626	KCNK5	K2p5.1|KCNK5b|TASK-2|TASK2	potassium two pore domain channel subfamily K member 5	protein-coding	74.64
1-72	chr6	125245065	125246447	+	74.5	NA	intron (NM_001003395, intron 3 of 6)	L1PBa|LINE|L1	42045	NM_001318907	7164		NM_003287	ENSG00000111907	TPD52L1	D53|TPD53	TPD52 like 1	protein-coding	74.47
1-73	chr1	42923796	42925178	+	73.9	NA	TTS (NM_006516)	TTS (NM_006516)	34381	NM_006516	6513		NM_006516	ENSG00000117394	SLC2A1	CSE|DYT17|DYT18|DYT9|EIG12|GLUT|GLUT-1|GLUT1|GLUT1DS|HTLVR|PED|SDCHCN	solute carrier family 2 member 1	protein-coding	73.87
1-74	chr1	42931424	42932806	+	72.9	NA	intron (NM_006516, intron 2 of 9)	intron (NM_006516, intron 2 of 9)	26753	NM_006516	6513		NM_006516	ENSG00000117394	SLC2A1	CSE|DYT17|DYT18|DYT9|EIG12|GLUT|GLUT-1|GLUT1|GLUT1DS|HTLVR|PED|SDCHCN	solute carrier family 2 member 1	protein-coding	72.84
1-75	chr1	42942733	42944115	+	72.4	NA	intron (NM_006516, intron 1 of 9)	intron (NM_006516, intron 1 of 9)	15444	NM_006516	6513		NM_006516	ENSG00000117394	SLC2A1	CSE|DYT17|DYT18|DYT9|EIG12|GLUT|GLUT-1|GLUT1|GLUT1DS|HTLVR|PED|SDCHCN	solute carrier family 2 member 1	protein-coding	72.41
1-76	chr4	37647623	37649005	+	71.4	NA	intron (NM_001085400, intron 2 of 6)	intron (NM_001085400, intron 2 of 6)	38062	NM_001085399	768211		NM_001085399	ENSG00000181826	RELL1	-	RELT like 1	protein-coding	71.38
1-77	chr15	38563984	38565366	+	70.3	NA	5' UTR (NM_001306086, exon 1 of 15)	5' UTR (NM_001306086, exon 1 of 15)	139	NM_001306086	10125		NM_005739	ENSG00000172575	RASGRP1	CALDAG-GEFI|CALDAG-GEFII|IMD64|RASGRP	RAS guanyl releasing protein 1	protein-coding	70.18
1-78	chr17	35242070	35243452	+	69.9	NA	promoter-TSS (NM_001330183)	promoter-TSS (NM_001330183)	-311	NM_144975	162394		NM_144975	ENSG00000166750	SLFN5	-	schlafen family member 5	protein-coding	69.92
1-79	chr6	122494476	122495858	+	69.4	NA	intron (NM_001270393, intron 3 of 7)	L1PA15-16|LINE|L1	23250	NM_001270394	5570		NM_032471	ENSG00000135549	PKIB	PRKACN2	cAMP-dependent protein kinase inhibitor beta	protein-coding	69.40
1-80	chr6	122696310	122697692	+	68.8	NA	intron (NM_181795, intron 3 of 4)	LTR53|LTR|ERVL	44272	NM_001270395	5570		NM_032471	ENSG00000135549	PKIB	PRKACN2	cAMP-dependent protein kinase inhibitor beta	protein-coding	68.80
1-81	chr6	125267544	125268926	+	68.7	NA	Intergenic	LTR18A|LTR|ERVL	33732	NM_016063	51020		NM_016063	ENSG00000111906	HDDC2	C6orf74|CGI-130|NS5ATP2|dJ167O5.2	HD domain containing 2	protein-coding	68.71
1-82	chr2	11512127	11513509	+	66.8	NA	Intergenic	Intergenic	-21227	NM_014668	9687		NM_014668	ENSG00000196208	GREB1	-	growth regulating estrogen receptor binding 1	protein-coding	66.83
1-83	chr12	109115589	109116971	+	65.5	NA	promoter-TSS (NM_001093)	promoter-TSS (NM_001093)	-307	NM_001093	32		NM_001093	ENSG00000076555	ACACB	ACACbeta|ACC-beta|ACC2|ACCB|ACCbeta|HACC275	acetyl-CoA carboxylase beta	protein-coding	65.54
1-84	chr10	17348130	17349512	+	63.9	NA	intron (NR_144322, intron 4 of 6)	intron (NR_144322, intron 4 of 6)	-38115	NR_034129	100128098		NR_034129	ENSG00000204832	ST8SIA6-AS1	APAL	ST8SIA6 antisense RNA 1	ncRNA	63.90
1-85	chr10	46047636	46049018	+	63.5	NA	Intergenic	Intergenic	-2058	NM_138634	4477		NM_002443	ENSG00000263639	MSMB	HPC13|IGBF|MSP|MSPB|PN44|PRPS|PSP|PSP-94|PSP57|PSP94	microseminoprotein beta	protein-coding	63.48
1-86	chr8	90791015	90792397	+	63.1	NA	promoter-TSS (NM_022351)	promoter-TSS (NM_022351)	-69	NM_022351	64168		NM_022351	ENSG00000123119	NECAB1	EFCBP1|STIP-1	N-terminal EF-hand calcium binding protein 1	protein-coding	62.96
1-87	chr7	2810608	2811990	+	62.1	NA	intron (NM_007353, intron 1 of 3)	intron (NM_007353, intron 1 of 3)	3931	NM_001282441	2768		NM_007353	ENSG00000146535	GNA12	HG1M1|NNX3|RMP|gep	G protein subunit alpha 12	protein-coding	62.10
1-88	chr4	37602570	37603952	+	62.0	NA	intron (NM_001085399, intron 6 of 6)	intron (NM_001085399, intron 6 of 6)	19028	NM_018302	55286		NM_018302	ENSG00000154274	C4orf19	-	chromosome 4 open reading frame 19	protein-coding	62.02
1-89	chr3	157542612	157543994	+	61.5	NA	promoter-TSS (NR_024016)	promoter-TSS (NR_024016)	-9	NR_166162	152078		NM_001099777	ENSG00000293490	SLC66A1LP	C3orf55|PQLC2L|SLC66A1L|SLC66A2L	solute carrier family 66 member 1 like, pseudogene	pseudo	61.50
1-90	chr19	16417305	16418687	+	60.6	NA	exon (NM_001258376, exon 11 of 16)	exon (NM_001258376, exon 11 of 16)	53974	NM_001258374	58513		NM_021235	ENSG00000127527	EPS15L1	EPS15R	epidermal growth factor receptor pathway substrate 15 like 1	protein-coding	60.64
1-91	chr17	41496344	41497726	+	59.3	NA	Intergenic	Intergenic	-7171	NM_003771	8689		NM_003771	ENSG00000126337	KRT36	HA6|KRTHA6|hHa6	keratin 36	protein-coding	59.18
1-92	chr22	28792530	28793912	+	57.1	NA	Intergenic	AluSq2|SINE|Alu	7351	NM_005080	7494		NM_005080	ENSG00000100219	XBP1	TREB-5|TREB5|XBP-1|XBP2	X-box binding protein 1	protein-coding	57.12
1-93	chr1	42966509	42967891	+	56.5	NA	intron (NR_033967, intron 1 of 3)	intron (NR_033967, intron 1 of 3)	8151	NR_033967	440584		NR_033967	ENSG00000227533	SLC2A1-DT	SLC2A1-AS1	SLC2A1 divergent transcript	ncRNA	56.52
1-94	chr1	162167821	162169203	+	54.2	NA	intron (NM_014697, intron 2 of 9)	intron (NM_014697, intron 2 of 9)	11405	NR_039798	100616386		NR_039798	ENSG00000266144	MIR4654	mir-4654	microRNA 4654	ncRNA	54.20
1-95	chr6	122568442	122569824	+	54.1	NA	intron (NM_001270393, intron 3 of 7)	L1PB2|LINE|L1	-41099	NM_032471	5570		NM_032471	ENSG00000135549	PKIB	PRKACN2	cAMP-dependent protein kinase inhibitor beta	protein-coding	54.11
1-96	chr11	94767845	94769227	+	53.9	NA	exon (NM_001301007, exon 1 of 12)	exon (NM_001301007, exon 1 of 12)	180	NM_001301007	154810		NM_130847	ENSG00000166025	AMOTL1	JEAP	angiomotin like 1	protein-coding	53.86
1-97	chr5	149938334	149939716	+	53.4	NA	intron (NM_000440, intron 1 of 21)	intron (NM_000440, intron 1 of 21)	5768	NM_000440	5145		NM_000440	ENSG00000132915	PDE6A	CGPR-A|PDEA|RP43	phosphodiesterase 6A	protein-coding	53.43
1-98	chr1	162159057	162160439	+	53.2	NA	intron (NM_014697, intron 2 of 9)	intron (NM_014697, intron 2 of 9)	2641	NR_039798	100616386		NR_039798	ENSG00000266144	MIR4654	mir-4654	microRNA 4654	ncRNA	53.00
1-99	chr12	109263838	109265220	+	52.9	NA	intron (NM_001093, intron 50 of 52)	MER5B|DNA|hAT-Charlie	44755	NM_213596	121643		NM_213596	ENSG00000139445	FOXN4	-	forkhead box N4	protein-coding	52.91
1-100	chr6	125273427	125274809	+	52.5	NA	Intergenic	LTR18A|LTR|ERVL	27849	NM_016063	51020		NM_016063	ENSG00000111906	HDDC2	C6orf74|CGI-130|NS5ATP2|dJ167O5.2	HD domain containing 2	protein-coding	52.40
1-101	chr1	162191516	162192898	+	52.4	NA	intron (NM_014697, intron 2 of 9)	MER5A|DNA|hAT-Charlie	35100	NR_039798	100616386		NR_039798	ENSG00000266144	MIR4654	mir-4654	microRNA 4654	ncRNA	52.40
1-102	chr12	109291158	109292540	+	51.6	NA	intron (NM_213596, intron 2 of 9)	CpG	17435	NM_213596	121643		NM_213596	ENSG00000139445	FOXN4	-	forkhead box N4	protein-coding	51.62
1-103	chr11	76824372	76825754	+	50.2	NA	Intergenic	Intergenic	33311	NM_001318477	25987		NM_015516	ENSG00000182704	TSKU	E2IG4|LRRC54|TSK	tsukushi, small leucine rich proteoglycan	protein-coding	50.25
1-104	chr11	76806836	76808218	+	50.0	NA	Intergenic	Intergenic	15775	NM_001318477	25987		NM_015516	ENSG00000182704	TSKU	E2IG4|LRRC54|TSK	tsukushi, small leucine rich proteoglycan	protein-coding	49.99
1-105	chr1	162239820	162241202	+	49.3	NA	intron (NM_014697, intron 2 of 9)	intron (NM_014697, intron 2 of 9)	83404	NR_039798	100616386		NR_039798	ENSG00000266144	MIR4654	mir-4654	microRNA 4654	ncRNA	49.30
