PeakID (cmd=annotatePeaks.pl MYC_Cluster4_peaks.bed hg38 -d MYC_VEH_TagDir)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	MYC_VEH_TagDir Tag Count in given bp (58211597.5 Total, normalization factor = 0.17, effective total = 10000000)
1-11	chr2	61853935	61855317	+	214.0	NA	promoter-TSS (NR_037710)	promoter-TSS (NR_037710)	-566	NM_001201543	84140		NM_032180	ENSG00000170264	FAM161A	RP28	FAM161 centrosomal protein A	protein-coding	213.96
1-12	chr6	52283976	52285358	+	208.3	NA	promoter-TSS (NM_002388)	promoter-TSS (NM_002388)	75	NM_001270472	4172		NM_002388	ENSG00000112118	MCM3	HCC5|P1-MCM3|P1.h|RLFB	minichromosome maintenance complex component 3	protein-coding	208.29
1-13	chr7	21945189	21946571	+	196.4	NA	promoter-TSS (NM_018719)	promoter-TSS (NM_018719)	19	NM_018719	55536		NM_018719	ENSG00000164649	CDCA7L	JPO2|R1|RAM2	cell division cycle associated 7 like	protein-coding	196.27
1-14	chr17	42997847	42999229	+	191.8	NA	5' UTR (NM_001349922, exon 1 of 4)	5' UTR (NM_001349922, exon 1 of 4)	119	NM_000988	6155		NM_000988	ENSG00000131469	RPL27	DBA16|L27|eL27	ribosomal protein L27	protein-coding	191.80
1-15	chr12	56751489	56752871	+	174.9	NA	intron (NM_000946, intron 1 of 12)	CpG	143	NM_000946	5557		NM_000946	ENSG00000198056	PRIM1	PDIL|p49	DNA primase subunit 1	protein-coding	174.88
1-16	chr15	43776980	43778001	+	171.1	NA	promoter-TSS (NM_025165)	promoter-TSS (NM_025165)	404	NM_001199877	10169		NM_005770	ENSG00000140264	SERF2	4F5REL|FAM2C|H4F5REL|HsT17089	small EDRK-rich factor 2	protein-coding	144.90
1-17	chr20	33666510	33667892	+	168.2	NA	5' UTR (NM_001024675, exon 1 of 1)	5' UTR (NM_001024675, exon 1 of 1)	258	NM_001024675	170487		NM_001024675	ENSG00000288649	ACTL10	C20orf134|dJ63M2.2	actin like 10	protein-coding	167.92
1-18	chr1	212034777	212036159	+	154.9	NA	promoter-TSS (NM_015434)	promoter-TSS (NM_015434)	-85	NM_001286230	51514		NM_016448	ENSG00000143476	DTL	CDT2|DCAF2|L2DTL|RAMP	denticleless E3 ubiquitin protein ligase homolog	protein-coding	154.87
1-19	chrX	24693163	24694545	+	152.6	NA	promoter-TSS (NM_001378303)	promoter-TSS (NM_001378303)	-64	NM_001330360	5422		NM_016937	ENSG00000101868	POLA1	NSX|PDR|POLA|VEODS|p180	DNA polymerase alpha 1, catalytic subunit	protein-coding	152.63
1-20	chr2	173354376	173355758	+	152.5	NA	intron (NM_031942, intron 1 of 9)	CpG	195	NM_145810	83879		NM_031942	ENSG00000144354	CDCA7	ICF3|JPO1	cell division cycle associated 7	protein-coding	152.55
1-21	chr8	74320399	74321781	+	152.5	NA	exon (NM_020647, exon 1 of 6)	exon (NM_020647, exon 1 of 6)	271	NM_001363051	56704		NM_020647	ENSG00000104369	JPH1	CMT2K|JP-1|JP1	junctophilin 1	protein-coding	152.38
1-22	chr8	74320399	74321781	+	152.5	NA	exon (NM_020647, exon 1 of 6)	exon (NM_020647, exon 1 of 6)	271	NM_001363051	56704		NM_020647	ENSG00000104369	JPH1	CMT2K|JP-1|JP1	junctophilin 1	protein-coding	152.38
1-23	chr3	127590389	127591771	+	152.1	NA	promoter-TSS (NM_001353001)	promoter-TSS (NM_001353001)	-347	NM_001353002	131601		NM_016372	ENSG00000163870	TPRA1	GPR175|TMEM227|TPRA40	transmembrane protein adipocyte associated 1	protein-coding	152.03
1-24	chr15	43791588	43792970	+	149.0	NA	promoter-TSS (NM_001018108)	promoter-TSS (NM_001018108)	-41	NM_001018108	10169		NM_005770	ENSG00000140264	SERF2	4F5REL|FAM2C|H4F5REL|HsT17089	small EDRK-rich factor 2	protein-coding	148.94
1-25	chr2	27050272	27051654	+	148.8	NA	promoter-TSS (NR_046730)	promoter-TSS (NR_046730)	-460	NR_138023	60509		NM_021831	ENSG00000084693	AGBL5	CCP5|RP75	AGBL carboxypeptidase 5	protein-coding	148.60
1-26	chr19	4908569	4909951	+	148.8	NA	promoter-TSS (NM_001048201)	promoter-TSS (NM_001048201)	-241	NM_001048201	29128		NM_013282	ENSG00000276043	UHRF1	ICBP90|Np95|RNF106|TDRD22|hNP95|hUHRF1|huNp95	ubiquitin like with PHD and ring finger domains 1	protein-coding	148.77
1-27	chr2	27085848	27087230	+	142.8	NA	promoter-TSS (NM_000221)	promoter-TSS (NM_000221)	-233	NM_000221	3795		NM_000221	ENSG00000138030	KHK	FRUCTU	ketohexokinase	protein-coding	142.67
1-28	chr22	35451912	35453294	+	138.2	NA	Intergenic	Intergenic	52463	NM_006739	4174		NM_006739	ENSG00000100297	MCM5	CDC46|MGORS8|P1-CDC46	minichromosome maintenance complex component 5	protein-coding	138.20
1-29	chr17	61672760	61674142	+	135.6	NA	Intergenic	L1PA6|LINE|L1	-82232	NM_199290	342538		NM_199290	ENSG00000253506	NACA2	ANAC|NACAL	nascent polypeptide associated complex subunit alpha 2	protein-coding	135.63
1-30	chr1	23530542	23531924	+	134.5	NA	promoter-TSS (NM_004091)	promoter-TSS (NM_004091)	0	NM_004091	1870		NM_004091	ENSG00000007968	E2F2	E2F-2	E2F transcription factor 2	protein-coding	134.51
1-31	chr10	94545002	94546384	+	130.9	NA	promoter-TSS (NM_001289067)	promoter-TSS (NM_001289067)	-74	NM_001289067	3070		NM_018063	ENSG00000119969	HELLS	ICF4|LSH|Nbla10143|PASG|SALNR|SMARCA6	helicase, lymphoid specific	protein-coding	130.90
1-32	chr2	27118303	27119685	+	130.4	NA	5' UTR (NM_006569, exon 1 of 6)	5' UTR (NM_006569, exon 1 of 6)	133	NM_001166240	10669		NM_006569	ENSG00000138028	CGREF1	CGR11	cell growth regulator with EF-hand domain 1	protein-coding	130.30
1-33	chr22	35376333	35377715	+	127.3	NA	Intergenic	Intergenic	-4072	NM_002133	3162		NM_002133	ENSG00000100292	HMOX1	HMOX1D|HO-1|HSP32|bK286B10	heme oxygenase 1	protein-coding	127.29
1-34	chr19	4914550	4915932	+	125.3	NA	intron (NM_013282, intron 1 of 15)	intron (NM_013282, intron 1 of 15)	4874	NM_001290052	29128		NM_013282	ENSG00000276043	UHRF1	ICBP90|Np95|RNF106|TDRD22|hNP95|hUHRF1|huNp95	ubiquitin like with PHD and ring finger domains 1	protein-coding	125.32
1-35	chr17	43024088	43025470	+	118.7	NA	promoter-TSS (NM_005440)	promoter-TSS (NM_005440)	-452	NM_005440	8153		NM_005440	ENSG00000108830	RND2	ARHN|RHO7|RhoN	Rho family GTPase 2	protein-coding	118.70
1-36	chr15	63381074	63382456	+	118.3	NA	promoter-TSS (NR_135511)	promoter-TSS (NR_135511)	81	NM_001218	771		NM_001218	ENSG00000074410	CA12	CA-XII|CAXII|HsT18816|T18816	carbonic anhydrase 12	protein-coding	118.28
1-37	chr2	27070951	27072333	+	115.5	NA	promoter-TSS (NM_001134693)	promoter-TSS (NM_001134693)	12	NM_001134693	100128731		NM_001134693	ENSG00000228474	OST4	-	oligosaccharyltransferase complex subunit 4, non-catalytic	protein-coding	115.53
1-38	chr7	50449854	50451236	+	114.0	NA	promoter-TSS (NM_001287496)	promoter-TSS (NM_001287496)	-139	NM_001287493	63979		NM_022116	ENSG00000132436	FIGNL1	-	fidgetin like 1	protein-coding	113.98
1-39	chr1	241847537	241848919	+	113.4	NA	promoter-TSS (NM_006027)	promoter-TSS (NM_006027)	24	NM_130398	9156		NM_003686	ENSG00000174371	EXO1	HEX1|hExoI	exonuclease 1	protein-coding	113.38
1-40	chr20	33731817	33733199	+	110.7	NA	intron (NM_001282933, intron 1 of 14)	CpG	512	NM_001282933	84905		NM_032819	ENSG00000131061	ZNF341	HIES3	zinc finger protein 341	protein-coding	110.63
1-41	chr22	35399422	35400804	+	110.4	NA	promoter-TSS (NM_006739)	promoter-TSS (NM_006739)	-27	NM_006739	4174		NM_006739	ENSG00000100297	MCM5	CDC46|MGORS8|P1-CDC46	minichromosome maintenance complex component 5	protein-coding	110.37
1-42	chr15	43798490	43799872	+	107.9	NA	intron (NM_001258031, intron 2 of 11)	intron (NM_001258031, intron 2 of 11)	916	NM_001258031	619189		NM_001258031	ENSG00000184716	SERINC4	-	serine incorporator 4	protein-coding	107.88
1-43	chr2	27133906	27135288	+	104.4	NA	promoter-TSS (NR_138479)	promoter-TSS (NR_138479)	39	NM_013388	10113		NM_013388	ENSG00000138073	PREB	SEC12	prolactin regulatory element binding	protein-coding	104.45
1-44	chr1	35718303	35719685	+	104.2	NA	promoter-TSS (NM_152374)	promoter-TSS (NM_152374)	-110	NM_152374	127703		NM_152374	ENSG00000142686	C1orf216	-	chromosome 1 open reading frame 216	protein-coding	104.19
1-45	chr11	134359728	134361110	+	102.0	NA	3' UTR (NM_001370462, exon 8 of 8)	3' UTR (NM_001370462, exon 8 of 8)	28431	NM_001370463	89944		NM_138342	ENSG00000149328	GLB1L2	MST114|MSTP114	galactosidase beta 1 like 2	protein-coding	102.04
1-46	chr18	63366580	63367962	+	101.4	NA	promoter-TSS (NM_002035)	promoter-TSS (NM_002035)	-65	NM_002035	2531		NM_002035	ENSG00000119537	KDSR	DHSR|EKVP4|FVT1|SDR35C1	3-ketodihydrosphingosine reductase	protein-coding	101.27
1-47	chr11	59106197	59107579	+	100.2	NA	promoter-TSS (NM_198947)	promoter-TSS (NM_198947)	-297	NM_001142704	374393		NM_198947	ENSG00000189057	FAM111B	CANP|POIKTMP	FAM111 trypsin like peptidase B	protein-coding	100.24
1-48	chr17	43169256	43170638	+	98.3	NA	promoter-TSS (NM_031862)	promoter-TSS (NM_031862)	456	NR_110868	101929767		NR_110868		LOC101929767	-	uncharacterized LOC101929767	ncRNA	98.26
1-49	chr22	35350448	35351830	+	97.1	NA	Intergenic	MIRb|SINE|MIR	-14340	NR_106717	102464824		NR_106717	ENSG00000274280	MIR6069	hsa-mir-6069	microRNA 6069	ncRNA	97.06
1-50	chr20	33653568	33654950	+	95.9	NA	Intergenic	Intergenic	-8068	NM_080825	128864		NM_080825	ENSG00000149609	C20orf144	dJ63M2.6	chromosome 20 open reading frame 144	protein-coding	95.94
1-51	chr10	13160951	13162333	+	92.7	NA	promoter-TSS (NM_018518)	promoter-TSS (NM_018518)	84	NM_018518	55388		NM_018518	ENSG00000065328	MCM10	CNA43|DNA43|IMD80|PRO2249	minichromosome maintenance 10 replication initiation factor	protein-coding	92.68
1-52	chr19	4860642	4862024	+	91.8	NA	exon (NM_001164189, exon 2 of 8)	exon (NM_001164189, exon 2 of 8)	6334	NM_005817	10226		NM_005817	ENSG00000105355	PLIN3	M6PRBP1|PP17|TIP47	perilipin 3	protein-coding	91.82
1-53	chr11	59142183	59143565	+	90.7	NA	promoter-TSS (NR_110184)	promoter-TSS (NR_110184)	18	NM_001374804	63901		NM_022074	ENSG00000166801	FAM111A	GCLEB|KCS2	FAM111 trypsin like peptidase A	protein-coding	90.70
1-54	chr12	119178263	119179645	+	89.4	NA	promoter-TSS (NM_014365)	promoter-TSS (NM_014365)	23	NM_014365	26353		NM_014365	ENSG00000152137	HSPB8	CMT2L|DHMN2|E2IG1|H11|HMN2|HMN2A|HMND2|HSP22|HSPB8-N1|HSPB8-N2	heat shock protein family B (small) member 8	protein-coding	89.42
1-55	chr15	63276839	63278221	+	89.2	NA	promoter-TSS (NM_031301)	promoter-TSS (NM_031301)	-20	NM_001145646	83464		NM_031301	ENSG00000138613	APH1B	APH-1B|PRO1328|PSFL|TAAV688|aph-1beta	aph-1 homolog B, gamma-secretase subunit	protein-coding	89.16
1-56	chr20	33719605	33720987	+	87.7	NA	promoter-TSS (NM_007238)	promoter-TSS (NM_007238)	14	NM_183397	11264		NM_007238	ENSG00000101417	PXMP4	PMP24	peroxisomal membrane protein 4	protein-coding	87.70
1-57	chr6	97282414	97283796	+	86.2	NA	5' UTR (NM_001350599, exon 1 of 25)	5' UTR (NM_001350599, exon 1 of 25)	111	NM_001350600	253714		NM_198468	ENSG00000146263	MMS22L	C6orf167|dJ39B17.2	MMS22 like, DNA repair protein	protein-coding	86.24
1-58	chr2	161414090	161415472	+	85.2	NA	Intergenic	CpG	-1516	NM_006593	10716		NM_006593	ENSG00000136535	TBR1	AUTS5|IDDAS|TBR-1|TES-56	T-box brain transcription factor 1	protein-coding	85.21
1-60	chr8	74349846	74351228	+	78.0	NA	exon (NM_001362930, exon 1 of 5)	exon (NM_001362930, exon 1 of 5)	134	NM_001362931	54332		NM_018972	ENSG00000104381	GDAP1	CMT4|CMT4A|CMTRIA	ganglioside induced differentiation associated protein 1	protein-coding	77.91
1-59	chr8	74349846	74351228	+	78.0	NA	exon (NM_001362930, exon 1 of 5)	exon (NM_001362930, exon 1 of 5)	134	NM_001362931	54332		NM_018972	ENSG00000104381	GDAP1	CMT4|CMT4A|CMTRIA	ganglioside induced differentiation associated protein 1	protein-coding	77.91
1-61	chr7	50467452	50468834	+	77.9	NA	intron (NM_001082971, intron 12 of 14)	CpG	-17737	NM_001287493	63979		NM_022116	ENSG00000132436	FIGNL1	-	fidgetin like 1	protein-coding	77.91
1-62	chr12	109154241	109155623	+	77.6	NA	intron (NM_001093, intron 2 of 52)	intron (NM_001093, intron 2 of 52)	38345	NM_001093	32		NM_001093	ENSG00000076555	ACACB	ACACbeta|ACC-beta|ACC2|ACCB|ACCbeta|HACC275	acetyl-CoA carboxylase beta	protein-coding	77.56
1-63	chr19	4867138	4868520	+	76.9	NA	promoter-TSS (NM_001164189)	promoter-TSS (NM_001164189)	-162	NM_001164194	10226		NM_005817	ENSG00000105355	PLIN3	M6PRBP1|PP17|TIP47	perilipin 3	protein-coding	76.87
1-64	chr3	127628757	127630139	+	75.6	NA	intron (NM_015720, intron 1 of 7)	CpG	263	NM_015720	50512		NM_015720	ENSG00000114631	PODXL2	EG|PODLX2	podocalyxin like 2	protein-coding	75.59
1-65	chr3	53845701	53847083	+	74.2	NA	promoter-TSS (NM_018725)	promoter-TSS (NM_018725)	27	NM_018397	55349		NM_018397	ENSG00000016391	CHDH	-	choline dehydrogenase	protein-coding	74.21
1-66	chr2	135797069	135798451	+	73.6	NA	intron (NM_002299, intron 13 of 16)	intron (NM_002299, intron 13 of 16)	-22431	NR_045486	100507600		NR_045486	ENSG00000226806	LCT-AS1	-	LCT antisense RNA 1	ncRNA	73.61
1-67	chr17	40287352	40288734	+	73.6	NA	5' UTR (NM_001254, exon 1 of 12)	5' UTR (NM_001254, exon 1 of 12)	164	NM_001254	990		NM_001254	ENSG00000094804	CDC6	CDC18L|HsCDC18|HsCDC6|MGORS5	cell division cycle 6	protein-coding	73.61
1-68	chr2	161623877	161625259	+	73.1	NA	intron (NM_001354451, intron 1 of 25)	intron (NM_001354451, intron 1 of 25)	152	NM_001354445	57282		NM_022058	ENSG00000144290	SLC4A10	NBCn2|NCBE	solute carrier family 4 member 10	protein-coding	73.10
1-69	chr1	35769084	35770466	+	71.4	NA	intron (NM_022111, intron 1 of 24)	CpG	203	NM_022111	63967		NM_022111	ENSG00000092853	CLSPN	-	claspin	protein-coding	71.38
1-70	chr3	127574446	127575828	+	70.0	NA	TTS (NR_106883)	TTS (NR_106883)	194	NR_106883	102466199		NR_106883	ENSG00000275067	MIR6825	hsa-mir-6825	microRNA 6825	ncRNA	70.00
1-71	chr15	43826266	43827648	+	68.5	NA	promoter-TSS (NM_001167941)	promoter-TSS (NM_001167941)	-45	NM_024908	79968		NM_024908	ENSG00000092470	WDR76	CDW14|CMR1	WD repeat domain 76	protein-coding	68.54
1-72	chr18	63154946	63156328	+	67.1	NA	intron (NM_000633, intron 2 of 2)	intron (NM_000633, intron 2 of 2)	164132	NM_000633	596		NM_000633	ENSG00000171791	BCL2	Bcl-2|PPP1R50	BCL2 apoptosis regulator	protein-coding	67.08
1-73	chr11	134331513	134332895	+	66.5	NA	intron (NM_138342, intron 1 of 19)	CpG	216	NM_001370463	89944		NM_138342	ENSG00000149328	GLB1L2	MST114|MSTP114	galactosidase beta 1 like 2	protein-coding	66.48
1-75	chr11	59171245	59172627	+	65.5	NA	promoter-TSS (NM_015177)	promoter-TSS (NM_015177)	-196	NM_015177	23220		NM_015177	ENSG00000110042	DTX4	RNF155	deltex E3 ubiquitin ligase 4	protein-coding	65.45
1-74	chr12	109115589	109116971	+	65.5	NA	promoter-TSS (NM_001093)	promoter-TSS (NM_001093)	-307	NM_001093	32		NM_001093	ENSG00000076555	ACACB	ACACbeta|ACC-beta|ACC2|ACCB|ACCbeta|HACC275	acetyl-CoA carboxylase beta	protein-coding	65.54
1-76	chr12	109051961	109053343	+	65.4	NA	promoter-TSS (NM_032663)	promoter-TSS (NM_032663)	76	NM_032663	84749		NM_032663	ENSG00000135093	USP30	-	ubiquitin specific peptidase 30	protein-coding	65.36
1-77	chr17	43124576	43125958	+	65.2	NA	promoter-TSS (NR_027676)	promoter-TSS (NR_027676)	97	NR_027676									65.02
1-78	chr20	33685500	33686882	+	61.6	NA	exon (NM_005225, exon 1 of 7)	exon (NM_005225, exon 1 of 7)	194	NM_005225	1869		NM_005225	ENSG00000101412	E2F1	E2F-1|RBAP1|RBBP3|RBP3	E2F transcription factor 1	protein-coding	61.50
1-79	chr2	27095651	27097033	+	59.7	NA	intron (NM_006488, intron 3 of 7)	intron (NM_006488, intron 3 of 7)	9570	NM_006488	3795		NM_000221	ENSG00000138030	KHK	FRUCTU	ketohexokinase	protein-coding	59.70
1-80	chr21	33587871	33589253	+	58.4	NA	TTS (NM_145858)	TTS (NM_145858)	122	NM_017613	29980		NM_017613	ENSG00000159147	DONSON	B17|C21orf60|MIMIS|MISSLA	DNA replication fork stabilization factor DONSON	protein-coding	58.41
1-81	chr18	63320132	63321514	+	57.4	NA	Intergenic	CpG-12610	-1054	NM_000657	596		NM_000633	ENSG00000171791	BCL2	Bcl-2|PPP1R50	BCL2 apoptosis regulator	protein-coding	57.21
1-82	chr17	69413912	69415294	+	56.9	NA	promoter-TSS (NM_002758)	promoter-TSS (NM_002758)	-94	NM_002758	5608		NM_002758	ENSG00000108984	MAP2K6	MAPKK6|MEK6|MKK6|PRKMK6|SAPKK-3|SAPKK3	mitogen-activated protein kinase kinase 6	protein-coding	56.95
1-83	chr1	212146959	212148341	+	54.5	NA	Intergenic	Intergenic	70037	NR_036068	100422947		NR_036068	ENSG00000264358	MIR3122	mir-3122	microRNA 3122	ncRNA	54.46
1-84	chr1	185733498	185734880	+	51.7	NA	promoter-TSS (NM_031935)	promoter-TSS (NM_031935)	-202	NM_031935	83872		NM_031935	ENSG00000143341	HMCN1	ARMD1|FBLN6|FIBL-6|FIBL6	hemicentin 1	protein-coding	51.71
1-85	chr9	96383089	96384471	+	50.9	NA	promoter-TSS (NM_001286990)	promoter-TSS (NM_001286990)	-69	NM_001286990	11046		NM_007001	ENSG00000130958	SLC35D2	HFRC1|SQV7L|UGTrel8|hfrc	solute carrier family 35 member D2	protein-coding	50.93
1-86	chr10	44338807	44340189	+	49.6	NA	Intergenic	Intergenic	45599	NM_199168	6387		NM_000609	ENSG00000107562	CXCL12	IRH|PBSF|SCYB12|SDF1|TLSF|TPAR1	C-X-C motif chemokine ligand 12	protein-coding	49.56
1-87	chr3	53891201	53892583	+	49.0	NA	promoter-TSS (NM_021237)	promoter-TSS (NM_021237)	-33	NM_021237	58515		NM_021237	ENSG00000113811	SELENOK	HSPC030|HSPC297|SELK	selenoprotein K	protein-coding	49.05
1-88	chr9	96450115	96451497	+	46.7	NA	intron (NM_014282, intron 1 of 7)	CpG	637	NM_014282	22927		NM_014282	ENSG00000130956	HABP4	IHABP-4|IHABP4|Ki-1/57|SERBP1L	hyaluronan binding protein 4	protein-coding	46.73
1-89	chr1	23539339	23540721	+	46.0	NA	Intergenic	Intergenic	-8797	NM_004091	1870		NM_004091	ENSG00000007968	E2F2	E2F-2	E2F transcription factor 2	protein-coding	45.87
1-90	chr1	186081749	186083131	+	45.7	NA	intron (NM_031935, intron 56 of 106)	MLT1H|LTR|ERVL-MaLR	-213833	NM_001303232	10216		NM_005807	ENSG00000116690	PRG4	CACP|HAPO|JCAP|MSF|SZP	proteoglycan 4	protein-coding	45.70
1-91	chr17	43006224	43007606	+	44.9	NA	5' UTR (NM_001330230, exon 1 of 7)	5' UTR (NM_001330230, exon 1 of 7)	131	NM_005533	3430		NM_005533	ENSG00000068079	IFI35	IFP35	interferon induced protein 35	protein-coding	44.92
1-92	chr2	61792891	61794273	+	44.2	NA	Intergenic	Intergenic	60478	NM_032180	84140		NM_032180	ENSG00000170264	FAM161A	RP28	FAM161 centrosomal protein A	protein-coding	44.24
1-93	chr3	53881251	53882633	+	42.4	NA	intron (NM_022899, intron 1 of 12)	CpG	210	NM_022899	93973		NM_022899	ENSG00000113812	ACTR8	ARP8|INO80N|hArp8	actin related protein 8	protein-coding	42.43
1-94	chrX	25012466	25013848	+	41.0	NA	exon (NM_139058, exon 2 of 5)	exon (NM_139058, exon 2 of 5)	2808	NM_139058	170302		NM_139058	ENSG00000004848	ARX	CT121|EIEE1|ISSX|MRX29|MRX32|MRX33|MRX36|MRX38|MRX43|MRX54|MRX76|MRX87|MRXS1|PRTS	aristaless related homeobox	protein-coding	40.97
1-95	chr7	50492327	50493709	+	40.6	NA	intron (NM_001242890, intron 9 of 9)	intron (NM_001242890, intron 9 of 9)	-38741	NR_033845	100129427		NR_033845	ENSG00000226122	DDC-AS1	-	DDC antisense RNA 1	ncRNA	40.63
1-96	chr12	119170802	119172184	+	40.5	NA	Intergenic	MER41B|LTR|ERV1	4991	NR_134996	105370024		NR_134996	ENSG00000256884	LOC105370024	-	uncharacterized LOC105370024	ncRNA	40.54
1-97	chr17	43211281	43212663	+	39.1	NA	promoter-TSS (NM_145041)	promoter-TSS (NM_145041)	97	NM_001291587	113277		NM_145041	ENSG00000184988	TMEM106A	-	transmembrane protein 106A	protein-coding	39.08
1-98	chr11	134385307	134386689	+	37.1	NA	intron (NM_054025, intron 2 of 5)	intron (NM_054025, intron 2 of 5)	25920	NM_018644	27087		NM_018644	ENSG00000109956	B3GAT1	CD57|GLCATP|GLCUATP|HNK1|LEU7|NK-1|NK1	beta-1,3-glucuronyltransferase 1	protein-coding	37.11
1-99	chr1	185696379	185697761	+	36.2	NA	Intergenic	Intergenic	-37321	NM_031935	83872		NM_031935	ENSG00000143341	HMCN1	ARMD1|FBLN6|FIBL-6|FIBL6	hemicentin 1	protein-coding	36.16
1-100	chr15	63387306	63388688	+	35.9	NA	Intergenic	MIRc|SINE|MIR	-2233	NR_120375	102723344		NR_120375		LINC02568	-	long intergenic non-protein coding RNA 2568	ncRNA	35.90
1-101	chr18	63161285	63162667	+	35.4	NA	intron (NM_000633, intron 2 of 2)	intron (NM_000633, intron 2 of 2)	157793	NM_000633	596		NM_000633	ENSG00000171791	BCL2	Bcl-2|PPP1R50	BCL2 apoptosis regulator	protein-coding	35.39
1-102	chr12	109130534	109131916	+	35.3	NA	intron (NM_001093, intron 1 of 52)	intron (NM_001093, intron 1 of 52)	14638	NM_001093	32		NM_001093	ENSG00000076555	ACACB	ACACbeta|ACC-beta|ACC2|ACCB|ACCbeta|HACC275	acetyl-CoA carboxylase beta	protein-coding	35.30
1-103	chrX	25020154	25021536	+	34.9	NA	Intergenic	CpG	-4880	NM_139058	170302		NM_139058	ENSG00000004848	ARX	CT121|EIEE1|ISSX|MRX29|MRX32|MRX33|MRX36|MRX38|MRX43|MRX54|MRX76|MRX87|MRXS1|PRTS	aristaless related homeobox	protein-coding	34.87
1-104	chr2	135818858	135820240	+	33.9	NA	promoter-TSS (NR_045486)	promoter-TSS (NR_045486)	-642	NR_045486	100507600		NR_045486	ENSG00000226806	LCT-AS1	-	LCT antisense RNA 1	ncRNA	33.93
1-105	chr11	134345408	134346790	+	32.0	NA	TTS (NM_001370463)	TTS (NM_001370463)	14111	NM_001370463	89944		NM_138342	ENSG00000149328	GLB1L2	MST114|MSTP114	galactosidase beta 1 like 2	protein-coding	32.04
1-106	chr22	35430440	35431822	+	31.4	NA	Intergenic	Intergenic	30991	NM_006739	4174		NM_006739	ENSG00000100297	MCM5	CDC46|MGORS8|P1-CDC46	minichromosome maintenance complex component 5	protein-coding	31.35
